pk,Text
431,"In July 2020, Cargill received a grievance against Aceydesa alleging deforestation, unjustified increase of RSPO certified volume, land conflict, non-compliance with labor legislation, lack of PPE, and environmental legislation violations. Cargill conducted a desktop investigation followed by a field evaluation in January 2021. They developed an action plan with the supplier and continue monthly follow-ups to ensure proper closure of identified issues."
432,"A grievance was filed against Agropalma regarding human rights issues involving Quilombola communities near the Acará River in Brazil. The case involves land rights conflicts with indigenous communities, which led to the temporary suspension of Agropalma's RSPO certification in February 2023 and again in January 2024. There was also an incident of unauthorized occupation of Agropalma's plantation in November 2023, followed by the discovery of a body in the area which is under investigation by Federal Police."
433,"This grievance was filed by Friends of the Earth and WALHI against Astra Agro Lestari (AAL) in Indonesia, alleging land conflicts related to their palm oil operations. The case involves disputed land rights where AAL claims they obtained proper Rights To Cultivate (HGU) in 1997, while communities contest these claims. AAL has commissioned independent investigations, developed a Human Rights Due Diligence strategy, and published an action plan, though some stakeholders like FoE have rejected their verification report."
434,"A grievance was filed against Brasil Bio Fuels (formerly Biopalma) in June 2019 regarding labor and human rights issues in Brazil. The case began with allegations about a ferry accident involving palm oil residues. After investigation, Cargill identified gaps in labor compliance and grievance management. Despite implementing an action plan, Cargill suspended Brasil BioFuels from its palm supply chain in October 2022 due to increasing tensions and allegations of violence surrounding their operations."
435,"A grievance was filed by Link-Ar Borneo against Cargill's subsidiary PT Poliplant Sejahtera (PSA) in West Kalimantan, Indonesia. The grievance alleges that PSA did not fully compensate Farmer 'LK' for his plot inside the estate according to agreed conditions of ownership transfer since 2009. PSA maintains they have documented evidence including notarized acceptance of transfer that refutes these allegations."
436,"A grievance was filed against Felda Global Ventures (FGV) on January 22, 2018, by AidEnvironment, alleging deforestation of High Carbon Stock (HCS) forest in Asian Plantations Limited's Grand Performance concession in Indonesia/Malaysia. FGV committed to a stop-work order and agreed to conduct an independent assessment to identify HCS areas. Subsequently, FGV adopted the High Carbon Stock Approach (HCSA) as part of updates to their sustainability policy."
437,"The grievance involves allegations that First Resources has operational and financial ownership connections to three palm-oil companies: FAP Agri, Ciliandra Anky Abadi (CAA), and Sulaidy Group. The complaint was raised by The Gecko Project in November 2023, with similar allegations previously raised by Greenpeace. First Resources denies these connections and has appointed Robertsbridge as an independent consultant to review the evidence and engage with stakeholders while the RSPO Complaints Panel conducts an investigation."
438,An RSPO complaint has been filed by FPP against Golden Agri-Resources (GAR) regarding concerns about the legality of operations and a bribery court case from 2018 in Central Kalimantan. GAR has refuted the allegations and submitted an appeal letter to the RSPO Complaints Panel. Cargill is aware of the situation and is monitoring the case as GAR is their direct supplier.
439,"A grievance was filed against Grupo Hame in Guatemala on December 14, 2015, involving accusations of human rights violations and environmental degradation. Cargill has taken several actions in response, including changing contract terms with the supplier, requiring monitoring and implementation of an action plan, and working with REPSA (part of Grupo Hame) to address various issues including community engagement, labor practices, and resolution of past incidents. Regular monitoring of implementation plans continues."
440,"CONDEG filed a grievance report accusing Industrias Chiqibul of labor rights violations in Guatemala. Cargill requested clarifications from Chiqibul and followed up for evidence and verification. After attempting to work with Chiqibul to identify third parties for verification and develop an action plan, Cargill ultimately suspended business with the Guatemalan palm oil supplier effective March 1, 2019."
441,"The grievance concerns a community land conflict at IOI Pelita in Malaysia, filed through the RSPO Complaints System in July 2018. IOI Group is engaged in resolving the issue through an implementation plan agreed upon with the community. The resolution plan has been accepted by all 9 communities involved, and Cargill is monitoring progress through IOI's grievance updates and the RSPO Complaints tracker."
442,"A grievance was filed in February 2023 based on a report from Cash Investigations alleging child labor practices at PT Erasakti Wiraforestama plantations in Jambi. The National Labour Agency conducted an inspection in November 2022 and verified that the company prohibits employing anyone under 18 years old, provides proper safety equipment, and has appropriate recruitment procedures. The case was closed in July 2023 following review by Jambi's National Labour Agency."
443,"Cargill identified land clearing in an HCV area during a visit to Ladang Rakyat Trengganu's concession in September 2020. In response, Ladang Rakyat Trengganu issued a Stop Work Order and developed a remediation plan for the 4.34ha cleared area, which included uprooting replanted seedlings, planting forest trees, and setting boundaries to protect HCV areas. Cargill continues to monitor the implementation of the remediation plan and has conducted follow-up visits in 2022."
444,"This grievance was filed by Mighty Earth against Musim Mas in December 2021, alleging environmental non-compliance related to clearing of a High Carbon Stock (HCS) area. Upon investigation, Cargill found that Musim Mas had conducted proper HCV and HCS assessments in 2018, which determined the area in question was neither HCV nor HCS. EQ's assessment confirmed this finding, noting the area displayed qualities consistent with scrub forest outside the HCS threshold."
445,"The grievance involves alleged land conflicts against Naturaceites, reported by Christian Initiative Romero, Foodwatch, and European Council for Constitutional and Human Rights in January 2024. Cargill is supporting Naturaceites in collaborating with the Earthworm Foundation to enhance their grievance mechanism and implement an action plan to address community conflicts, land issues, and environmental impacts. The plan includes three phases focusing on understanding the situation, establishing communication channels, and implementing actions to mitigate future conflicts."
446,"Cargill identified environmental non-compliances in Palmeras Del Llano's mill operations during a 2019 evaluation visit. Due to slow progress, the case was moved to Cargill's grievance system. The mill has since committed resources to address the issues and has made progress on resolving environmental non-compliances, including adjustments to the effluents system."
447,"A grievance was filed on June 12, 2020, against Permata Hijau Group for non-compliant sourcing from PT Kallista Alam. The grievance was reported by Rainforest Action Network. Prior to the report, Cargill and Permata had already aligned on prioritizing engagement with Permata's Aceh suppliers. The case is currently under monitoring implementation."
448,"This grievance involves deforestation allegations against Bewani Oil Palms in PNG, which was allegedly associated with the Prosper Group in Malaysia. Cargill initially suspended their commercial relationship with Prosper Group due to these links and the extensive deforestation. However, Cargill later resumed business after Prosper committed to adopting an NDPE sustainable Palm Oil Policy, initiating a recovery plan for the North Selangor Peat Swamp Forest, and making a time-bound remediation plan to compensate for past deforestation."
449,"A customer reported potential deforestation in Sarawak Oil Palms' (SOP) Sabajau estate. Cargill immediately investigated with SOP, who denied involvement and provided documentation showing the last clearing was in October 2016. SOP believes clearing was carried out by a native community. Cargill has requested further field verification."
450,"Liberty Shared submitted a petition against Sime Darby Plantation Berhad alleging forced labor and child labor in their Malaysia operations. The case escalated when the US Customs and Border Protection issued a Withhold Release Order against Sime Darby's palm oil products. After Sime Darby implemented governance changes and external assessments, the CBP eventually lifted restrictions, leading Cargill to resume business with Sime Darby in February 2023."
451,"A grievance was filed against SIPEF on October 5, 2020, regarding labor rights violations in Indonesia. The allegations were originally raised in 2017 by 11.11.11 and Sawit Watch, and later highlighted by Transnational Palm Oil Labour Solidarity (TPOLS) in an article. SIPEF has engaged with the parties involved and plans to hire a third party to investigate the allegations and provide recommendations."
452,This grievance involves a community land conflict between Wilmar (specifically PT Permata Hijau Pasaman) and local communities. The case was filed as an RSPO Complaint and went through the RSPO complaints system. Cargill engaged with Wilmar to monitor progress on the agreed action plan. The grievance was eventually closed by the RSPO Complaints Panel in September 2018.
453,"A grievance was filed in August 2020 by Mighty Earth against Amanah Saham Pahang for alleged deforestation. The complaint suggests that mills in Cargill's supply chain are sourcing Fresh Fruit Bunches (FFB) from Amanah Saham Pahang plantations. Cargill is investigating these allegations, and Amanah Saham Pahang has since established an NDPE Policy and committed to a moratorium on new planting."
454,"Anglo Eastern Plantations faced a grievance for deforestation reported by Mighty Earth in May 2018. Cargill engaged with their direct suppliers and AEP committed to a moratorium at PT Kahayan Agro Plantation pending assessments. Despite some incidents of land clearing due to GPS error and local gold mining activities, AEP issued a stop work order and published an NDPE policy. The case is currently implementing an action plan with ongoing monitoring."
455,"Mighty Earth raised a grievance against Asam Jawa/Musirawas for deforestation in March 2019. Cargill was impacted through its sourcing with PHG and engaged them on this grievance. The supplier was subsequently suspended by direct suppliers and is no longer in Cargill's supply chain, with Cargill adopting a no-buy position on the company."
456,"This grievance involves deforestation allegations against Austindo Nusantara Jaya (ANJ). Cargill initially suspended ANJ from its supply chain in October 2016 after the report. Following remediation efforts by ANJ, including implementing a moratorium on new clearing, developing NDPE procedures, and demonstrating progress through monitoring and reporting, Cargill lifted the suspension in February 2022."
457,A grievance was filed against Beurata Subur Persada in August 2020 regarding a community conflict. Cargill is indirectly connected to Beurata Subur Persada and has contacted their direct supplier for more information. GAR has commenced investigations on the community grievance and has been engaging with Beurata Subur Persada and PT DPL on no-deforestation since 2017.
458,"A grievance was filed against Bima Golden Powerindo in July 2019 by Rainforest Action Network, alleging deforestation by PT Laot Bangko. While Cargill did not source directly from the concession, they were impacted indirectly through Apical's sourcing from PT MJSL, which is part of the same group. After unsatisfactory engagement with PT MJSL and Bima Golden Powerindo, Apical decided to cease sourcing on September 19, 2019."
459,Mighty Earth has filed a grievance against Bukit Asam for alleged environmental non-compliance. The grievance was received in August 2021 and is currently under investigation. Cargill has contacted their direct supplier who is engaging with Bumi Sawindo Permai to investigate the allegations.
460,"This grievance involves a land conflict dispute at PT Bukit Barisan Indah Prima (BBIP) in Indonesia, where a security incident resulted in a fatality. PT AP, part of BBIP, has been engaged in a land dispute with the local village community. Following the incident, operations in the disputed area were suspended, and a third-party assessment was conducted which found PT AP had fulfilled legal requirements for land use, while the security officer involved was ruled to have acted in self-defense but was sentenced for actions leading to the fatality."
461,Greenpeace raised a grievance against Bumitama in September 2018 regarding deforestation. Cargill engaged with their direct suppliers about the allegations. Bumitama acknowledged gaps in implementing its sustainability policy and took immediate actions to address non-compliances. Additional land clearing was detected in PT Lestari Gemilang Intisawit in March 2019.
462,"A grievance was filed against Bunga Group for deforestation concerns in January 2021 by Mighty Earth. Cargill, which has an indirect supplier relationship with Bunga Group, reached out to direct suppliers for information. The supplier reported that Bunga Group has implemented a moratorium and adopted an NDPE (No Deforestation, No Peat, No Exploitation) Policy from January 25, 2021, while investigation into the alleged land clearing continues."
463,"A grievance was filed against Capitol Group by Mighty Earth on May 12, 2020, regarding deforestation. Though Capitol Group is not in Cargill's latest mill list, they reached out to their previous direct supplier to understand progress on the grievance engagement. Investigation revealed that land clearing was due to local community pressure, and Medcopapua Hijau Selaras has imposed a moratorium and agreed to rehabilitation for cleared areas."
464,"A grievance was raised by Greenpeace in February 2018 against Central Cipta Murdaya, specifically PT Hardaya Inti Plantations, regarding deforestation. Cargill initiated engagement with their direct supplier upon receiving the allegations. Following investigations, the supplier has committed to a moratorium and compliance with No Deforestation, No Peat, No Exploitation (NDPE) policies."
465,"A grievance was filed against Chora Agro Resources in December 2021 regarding alleged environmental and social non-compliance involving Mitra Abadimas Sejahtera (PT MAS). Investigation by Cargill's supplier found PT MAS was operating legally with proper permits, had fulfilled plasma obligations, had no community settlements within their boundaries, and maintained good relationships with local workers. The case was closed in September 2023 after the grievance raiser provided no further comments."
466,"Greenpeace filed a grievance against Cilinadry Anky Abadi (CAA) in February 2018 regarding deforestation. In response, CAA implemented a moratorium on PT AGL and PT CAA as of August 31, 2018, and committed to conduct HCS/HCV assessments. They also committed to publish an NDPE (No Deforestation, No Peat, No Exploitation) policy in 2019."
467,"Greenpeace filed a grievance against Djarum in February 2018 for alleged deforestation and land clearing activities. Cargill engaged with their direct supplier about these allegations, and the supplier has committed to No Deforestation, No Peat, No Exploitation (NDPE) policies. A moratorium has been placed at PT Gemilang Sawit Kencana pending completion of required assessments."
468,"This grievance involves allegations of deforestation and land conflict against Double Dynasty, an indirect supplier to Cargill. After receiving reports from media and NGOs in March 2019, Cargill raised concerns with direct suppliers who initially instituted a moratorium while investigating. By May 7, 2019, Cargill's direct supplier suspended Double Dynasty, removing them from Cargill's supply chain."
469,"Greenpeace and Cargill's internal monitoring reported deforestation by DTK Opportunity in February 2019. Cargill engaged with their direct supplier regarding land clearing allegations by PT Lahan Agro Inti Ketapang. While land clearing has ceased at PT LAIK, Cargill identified potential clearing in DTK's PT Permata Lestari Jaya, leading to DTK implementing a moratorium on new land clearing in September 2019."
470,"Greenpeace raised a grievance against Eagle High Plantations for deforestation on September 30, 2016. EHP provided evidence that the deforestation was caused by community encroachment, not by their operations. PT AER implemented an orangutan conservation project to protect HCV corridors and restore critical sites."
471,"A grievance was filed against East New Britain Resources in Papua New Guinea in July 2021 for environmental and social non-compliance. The complaint was raised by Global Witness regarding allegations in Papua New Guinea. Cargill has suspended East New Britain Resources as of March 31, 2022, following investigation and suspension by their direct supplier Mewah."
472,Everbright Resources Cooperations was reported for deforestation by Mighty Earth in March 2019. The company had already been suspended by Cargill's direct suppliers when the grievance was raised. Cargill has adopted a no-buy position on the company.
473,"A grievance was filed by Mighty Earth against Fangiono Agro Plantation for alleged deforestation in March 2019. Cargill engaged with their direct supplier who reported that no clearing was identified in High Carbon Stock (HCS) areas. FAP's PT Ketapang Hijau Lestari has a credible HCS assessment, and a verification visit is being planned by Cargill's direct supplier."
474,A grievance was raised against Gagah Putra Satria Holdings for deforestation and developing on peat. GAR suspended Gagah Putra Satria in May 2020 due to unsatisfactory grievance engagement and clearing of peat. Cargill identified a connection through another direct supplier and is investigating the situation. The supplier claims that government assessment revised maps in 2015 showing no peat area in the concession.
475,"Greenpeace raised a grievance against Gama/Ganda associated companies for deforestation in Indonesia in June 2018. Cargill initially clarified they were only indirectly linked through Wilmar, who ceased sourcing from these companies. On June 16, 2021, Cargill lifted the suspension on KPN Group (formerly GAMA Group) after the company demonstrated commitment to Cargill's Sustainable Palm Oil Policy by establishing an NDPE Policy, implementing a sustainability action plan, conducting responsibility studies, and committing to regular progress reporting."
476,"This grievance report concerns deforestation allegations against Genting, specifically regarding PT Citra Sawit Cemerlang's operations. Cargill engaged with direct suppliers to investigate the claim, and was informed that land clearing occurred outside High Carbon Stock (HCS) areas according to an assessment by AidEnvironment. A stop work order was implemented on May 1, 2019, and PT CSC agreed to submit their assessment for peer review."
477,"Greenpeace filed a grievance against Goodhope for deforestation and exploitation issues. Cargill, as an indirect buyer, communicated expectations for Goodhope to reassess their HCS and HCV landscape. Goodhope subsequently published a sustainability policy with implementation plans and has made progress on resolving RSPO complaints, completing assessments, and improving FPIC processes."
478,"While performing supply chain monitoring, Cargill discovered that the Constitutional Court of Colombia had ordered Grupo Agroindustrial Hacienda La Gloria to return 1,200 hectares of palm-planted estates to Colombian Authorities in 2017. Cargill investigated the case by collecting information and engaging with the supplier. Due to pending legal actions on both sides that would delay resolution, Cargill decided to postpone any new business with this supplier until the case is resolved."
479,"Greenpeace raised a grievance against IJM Corporation regarding deforestation concerns with PT Prima Bahagia Permai (PT PBP), an indirect supplier to Cargill. In response, Cargill engaged with their direct supplier in February 2018, and PT PBP committed to a moratorium on activities pending required assessments. The HCS-HCV assessment was completed in August 2018, and PT PBP has maintained its moratorium as of July 2019."
480,"A grievance was raised by Mighty Earth against Incasi Raya for deforestation in January 2019. Cargill engaged with direct suppliers and learned a moratorium was in place. Incasi Raya ceased all clearing since March 2019, and the cleared area was planted with cover crop with no palm planting to be carried out in that area."
481,"A grievance was filed by Rainforest Action Network against Indofood/Salim Group on September 30, 2016, alleging labor rights violations. The case involved an RSPO complaint, and Cargill communicated expectations to suppliers for Indofood to publish a time-bound implementation plan. After site visits and investigations, Indofood was ultimately removed from Cargill's supply chain in May 2018."
482,Greenpeace filed a grievance against Indonusa for deforestation. Cargill suspended the supplier from their supply chain after engagement via their direct supplier was deemed unsatisfactory. The grievance is currently suspended and Indonusa was an indirect supplier to Cargill.
483,"A grievance was raised in July 2019 regarding land rights issues involving Inti Nusa Sejahtera (PT MAS). The case involves a land conflict with an indirect supplier. Cargill is aware that PT MAS has been part of the RSPO complaints system, and Sime Darby divested from PT MAS in February 2019. Cargill is engaging with direct suppliers on the resolution process by the new owners."
484,A grievance was filed in August 2020 against Instant Star Holdings Sdn Bhd regarding deforestation. The complaint alleges that Aspirasi Kristal's plantations have deforestation issues and that mills in Cargill's supply chain are sourcing Fresh Fruit Bunches (FFB) from Aspirasi Kristal. Cargill is currently investigating these allegations with their suppliers.
485,"Cargill has suspended Jernih Kemboja Sdn Bhd from its supply chain effective March 31, 2022, following evidence of deforestation in Malaysia obtained via satellite imagery. The grievance was raised by Mighty Earth in March 2022, citing environmental non-compliance. Cargill remains open to re-engagement if the supplier meets their standards."
