Document_Num,Dominant_Topic,Topic_%_Contrib,Topic_Keywords,Text,Is_Outlier,Dom_Topics_Num,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_0_Perc,Topic_1_Perc,Topic_2_Perc,Topic_3_Perc,Topic_4_Perc,Topic_5_Perc
0,3,0.53,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",non compliant products amanah saham pahang berhad aspa enter wilmar supply chain suppliers,False,1,0,0,0,1,0,0,0.05,0.08,0.06,0.53,0.09,0.19
1,0,1.0,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",complaint matter public interest taken complaints panel 26of july 2015 wsj ran article syed zain al mahmood alleging felda breached labour conditions plantations allegations mainly say forced labour used workers paid minimum wages health working conditions neglected employers withheld passports,False,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
2,5,0.83,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance concerns allegations deforestation leuser ecosystem ptpn 1 rainforest action network may ptpn 1 claims conducting replanting activities existing plantation area hgu permit abandoned 1999 due civil conflict resumed maintenance 2014 cargill engaging direct suppliers advocating hcsa assessment determine appropriate steps regenerating vegetation,False,1,0,0,0,0,0,1,0.02,0.02,0.03,0.08,0.01,0.83
3,2,0.64,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",grievance astra agro lestari aal failed obtain free prior informed consent fpic developing concessions indonesia several subsidiaries accused land rights violations including operating proper certificates forced land acquisitions operating protected forest zones reckitt excluded aal sulawesi operations supply chains monitoring situation,False,1,0,0,1,0,0,0,0.14,0.07,0.64,0.04,0.02,0.09
4,2,0.99,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",allegations 1 yet paid compensation 1099 ha land owned kelompok tani berkat harapan lampung tarung 2 yet paid compensation 110 ha owned kelompok masyarakat desa tangar sukarsih cs 3 yet given 20 plasma desa tangar,False,1,0,0,1,0,0,0,0.0,0.0,0.99,0.0,0.0,0.0
5,3,0.47,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",rapid response 12 mighty earth series peat forest development since july 2018 pinang witmas abadi west kalimantan owned managed pundi lahan khatulistiwa gar supplier online media,False,2,0,0,0,1,1,0,0.03,0.12,0.06,0.47,0.25,0.08
6,1,0.67,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",media two operating jambi carried burnings investigated jambi provincial police department,False,1,0,1,0,0,0,0,0.02,0.67,0.09,0.06,0.13,0.04
7,1,0.47,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",breached obligations ignoring high conservation values hcvs identified new planting procedure npp 2013 clearing land protected area plant crops situation affected forest conservation area protected according costa rican law deforested area deforestation took place abandoned damage remedied andthe said act deforestation violates sustainability principles significant negative impact local biodiversity communities depend ecosystem,False,2,0,1,1,0,0,0,0.03,0.47,0.39,0.04,0.03,0.04
8,4,0.83,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response 45 june 2023 june 2024 918 ha forest loss clearance preparation prasetya mitra muda concession,False,1,0,0,0,0,1,0,0.01,0.06,0.03,0.05,0.83,0.02
9,2,0.63,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",conflict land issue asiatic persada indigenous local communities response wilmar provided verification tuv rheinland september november fpp sawit watch huma conducted site visit issued international finance corporation compliance advisor ombudsman ifc cao invited provide service mediate case kick meeting ifc cao attendance parties well representative provincial government took place early dec cao team conducted preliminary visit site currently awaiting update ifc cao,False,1,0,0,1,0,0,0,0.13,0.08,0.63,0.04,0.02,0.11
10,0,0.54,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",human rights violation dinant,False,1,1,0,0,0,0,0,0.54,0.05,0.27,0.03,0.02,0.08
11,2,0.6,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",cultivated planted land first obtaining consent rightful owner hence causing material non material loss,False,1,0,0,1,0,0,0,0.07,0.2,0.6,0.04,0.04,0.05
12,3,0.84,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",grievance raised serijaya industri sdn bhd innoprise alleging deforestation peatland development issue mighty earth rapid response 45 hershey contacted supplier clarified entity actually yayasan sabah alert overlaps riparian steep areas,False,1,0,0,0,1,0,0,0.01,0.04,0.02,0.84,0.02,0.07
13,0,0.81,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",labour rights violation dewa rencana perangin angin’s drpa operation,False,1,1,0,0,0,0,0,0.81,0.03,0.1,0.02,0.01,0.04
